year,start_date,state,human_fatality,affected
2004,2004-07-12,"Hukusima, Niigata",21,25807
1972,1972-07-03,,458,0
1998,1998-08-26,,16,24033
2005,2005-06-28,Niigata,0,900
1995,1995-07-01,,0,12000
2019,2019-08-27,"Hukuoka, Nagasaki",1,302
2021,2021-08-11,"Hirosima, Nagasaki",12,30000
1967,1967-07-07,,347,0
2011,2011-07-29,Hukusima,6,2000
2006,2006-06-19,,34,6232
1999,1999-06-28,,45,24139
2023,2023-07-01,,6,4218
2015,2015-09-09,"Miyagi, Totigi",21,45046
1976,1976-07-01,,0,0
1990,1990-06-25,,27,588
1977,1977-08-06,,5,0
1979,1979-06-01,,23,28050
2020,2020-06-29,Kumamoto,82,250114
2007,2007-07-04,"Ehime, Hukuoka, Kagawa, Kagosima, Kooti, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga, Tokusima",2,10000
1982,1982-07-23,,345,27347
2017,2017-07-06,"Hukuoka, Hirosima, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Simane",37,2944
1980,1980-08-30,,20,0
2013,2013-07-28,"Simane, Yamaguti",5,3633
1999,1999-08-14,,15,0
2019,2019-06-29,"Hukuoka, Isikawa, Kagosima, Kumamoto, Miyazaki, Nagasaki, Ooita, Saga",2,600
2010,2010-07-18,"Gifu, Hirosima, Simane",10,0
2021,2021-07-10,"Kagosima, Kumamoto, Miyazaki",0,300
2022,2022-08-02,,2,11108
2019,2019-10-25,"Hukusima, Tiba",10,270
1989,1989-01-01,,10,0
2004,2004-11-11,Sizuoka,1,2290
2016,2016-06-20,Kumamoto,7,6000
1967,1967-08-26,,142,151
2003,2003-07-19,,23,814
1986,1986-01-01,,14,162000
1978,1978-06-01,,8,15000
2006,2006-07-22,,8,4300
2001,2001-06-01,,1,138
2012,2012-07-12,"Kumamoto, Ooita",30,48135
1988,1988-07-09,,27,0
1993,1993-04-29,,0,4800
2000,2000-09-10,"Aiti, Gifu, Mie, Sizuoka",18,360110
2018,2018-06-29,"Gifu, Hirosima, Kooti, Nagano, Okayama, Tokusima",246,1500102
2008,2008-07-28,,5,50003
